

gen best mean std
0 66.606372 0.10804 15.895091

gen best mean std
0 -2.70805 -5.469517 0.947159
1 -2.70805 -5.101774 1.20576
2 -2.70805 -4.131089 1.37653
3 3.721885 -2.021512 2.924902
4 38.988733 8.353161 15.994935
5 38.988733 12.470599 18.034177
6 75.279688 26.069247 28.244738
7 75.279688 37.469874 26.820231
8 75.588354 61.918481 17.355994
9 86.066285 72.004384 9.760074
10 86.066285 69.504294 13.434693
11 86.066285 66.750614 19.036959
12 86.066285 61.920507 16.534627
13 86.066285 63.888837 18.055416
14 86.066285 60.228848 17.215757
15 86.066285 60.445688 22.969937
